Gender,Age,Height,Weight,BMR,Calories
1,48,140,73,1204,1444.8
0,22,173,65,1626.25,1951.502
0,23,173,69,1661.25,1993.502
0,22,160,119,2085,2502
1,22,155,56,1257.75,1949.516
0,19,183,72,1773.75,3059.723
1,25,160,58,1294,1552.8
0,25,175,106,2033.75,2440.498
0,23,178,64,1642.5,1971
1,27,135,62,1167.75,1605.658
0,26,168,88,1805,2166
1,22,163,54,1287.75,2446.721
1,25,160,94,1654,1984.8
0,26,170,109,2027.5,2433
0,26,173,92,1876.25,2251.502
1,27,163,70,1422.75,1707.298
0,23,173,72,1691.25,3213.372
0,21,168,68,1630,3096.997
0,42,168,110,1945,2334
0,23,178,70,1702.5,2043
1,26,180,72,1554,1864.8
0,21,168,75,1700,2040
0,20,170,70,1667.5,2001
0,20,173,50,1486.25,1783.502
0,27,173,82,1771.25,2125.502
0,22,173,74,1716.25,2059.502
1,26,155,86,1537.75,1845.298
0,24,168,77,1705,2046
0,24,178,85,1847.5,3510.248
0,28,168,50,1415,1698
0,28,183,112,2128.75,2927.036
0,62,165,57,1296.25,2462.876
0,35,155,87,1668.75,2002.498
1,25,163,48,1212.75,1455.298
1,21,157,51,1225.25,1470.302
1,16,157,45,1190.25,1844.884
1,33,157,41,1065.25,1278.302
0,23,157,45,1321.25,1585.502
1,20,157,46,1180.25,1416.302
1,23,160,49,1214,1669.25
0,25,168,102,1950,2340
1,24,147,46,1097.75,1317.298
0,24,173,75,1716.25,2660.185
0,23,173,60,1571.25,1885.502
1,20,163,54,1297.75,1557.298
0,22,170,76,1717.5,2061
1,19,168,41,1204,1444.8
1,20,163,81,1567.75,2430.012
0,22,175,60,1588.75,1906.498
1,21,155,57,1272.75,1527.298
0,25,185,87,1906.25,3288.277
1,50,145,104,1535.25,1842.302
0,20,180,75,1780,2136
1,46,157,45,1040.25,1248.302
1,18,140,72,1344,1612.8
0,21,173,68,1661.25,2284.221
0,23,178,72,1722.5,2067
0,23,180,63,1645,1974
0,25,155,41,1258.75,1510.498
1,22,170,82,1611.5,1933.8
0,42,155,85,1613.75,1936.498
0,23,175,65,1633.75,3104.127
0,22,185,75,1801.25,2161.502
1,27,152,83,1484,1780.8
0,22,165,52,1446.25,1735.502
0,21,170,85,1812.5,2175
1,20,165,76,1530.25,2371.887
1,22,163,55,1297.75,1557.298
0,43,163,94,1748.75,2098.498
0,25,178,70,1692.5,2919.563
0,25,173,55,1511.25,1813.502
1,41,145,76,1300.25,1560.302
1,28,142,53,1116.5,1339.8
0,29,170,93,1852.5,2547.182
0,23,157,110,1971.25,2365.502
1,22,147,38,1027.75,1233.298
1,25,157,88,1575.25,1890.302
1,25,160,90,1614,1936.8
0,21,168,74,1690,2028
1,30,163,46,1167.75,1401.298
0,20,160,47,1375,1650
0,25,170,65,1592.5,1911
0,24,168,88,1815,2178
0,24,157,102,1886.25,2263.502
1,22,157,62,1330.25,1596.302
0,29,165,93,1821.25,2504.218
0,24,175,71,1688.75,2322.033
0,30,165,86,1746.25,2095.502
1,19,145,70,1350.25,1620.302
0,29,170,95,1872.5,2247
1,30,140,85,1414,1696.8
0,22,175,69,1678.75,2602.059
0,22,168,95,1895,2274
1,61,155,61,1112.75,1335.298
0,34,160,107,1905,2286
1,21,152,63,1314,1576.8
0,20,183,81,1858.75,2230.498
0,23,165,76,1681.25,2017.502
0,23,175,73,1713.75,2356.407
0,23,168,55,1490,2048.756
0,22,168,40,1345,1614
0,21,160,64,1540,1848
1,32,140,89,1444,1732.8
0,23,168,60,1540,1848
1,24,152,73,1399,1678.8
1,28,168,62,1369,1642.8
0,23,163,130,2208.75,2650.498
0,23,180,62,1635,1962
0,20,178,65,1667.5,2001
0,43,155,88,1638.75,1966.498
0,26,168,107,1995,2394
0,23,165,65,1571.25,1885.502
0,27,160,70,1570,1884
0,23,178,72,1722.5,2067
0,23,160,104,1930,2316
0,26,183,74,1758.75,2726.065
0,28,175,127,2228.75,2674.498
1,60,152,80,1289,1546.8
0,25,175,109,2063.75,2476.498
0,29,168,52,1430,1716
0,33,157,87,1691.25,2029.502
0,23,165,110,2021.25,2425.502
0,22,168,52,1465,1758
1,38,140,82,1344,1612.8
0,23,170,74,1692.5,3215.756
0,24,183,78,1808.75,2170.498
1,19,163,85,1612.75,1935.298
0,34,170,84,1737.5,2085
0,25,168,75,1680,2016
0,23,173,79,1761.25,2729.938
